FID,site_id,site_on,site_at,corn_desc,city,county,publiccomm,dt_zone,parkride,adaaccess,ada_comm,busstop_yn,node_id,gate,T_Code,board_flag,alight_fla,Lat,Long
0,53698,#1145 Shenandoah Lane,Entrance,Near side S,PLYMOUTH,Hennepin,8/13 new SH11,N,N,Y,#1145 Shenandoah Lane Main Entrance,Y,SH11, , ,0,0,44.99242095,-93.47656317
1,49019,#12155 ESS - REZ,Johnny Cake Ridge,Near side W,APPLE VALLEY,Dakota,Pre-2004 Rt 440,N,N,Y,Reservation Only,N, , , ,0,0,44.77481891,-93.18696226
2,51223,#2200 Main St P&R,Hwy 35E,Near side W,LINO LAKES,Anoka, ,N,Y,N,No bus svc - P&R #513 only,N, , , ,0,0,45.16421805,-93.03085119
3,51771,#2420 Cleveland,Co Rd B-2 Fair P&R,Near side N,ROSEVILLE,Ramsey, ,N,N,Y,2006 last used - was B2CL,N, , , ,0,0,45.01521492,-93.18653399
4,44364,#3400 Entrance,Parklawn Ave,Near side W,EDINA,Hennepin, ,N,N,Y,Entrance,Y,34PK, , ,1,1,44.86872942,-93.32325452
5,49022,#4345,Nicols Rd,Near side W,EAGAN,Dakota,Lewis House NOT public (shelter),N,N,Y,12/04 was Reservation Only,N, , , ,0,0,44.79618702,-93.21804919
6,40182,#4400 Baker Rd,Office Entrance,Near side S,MINNETONKA,Hennepin,1/10 was Fingerhut Corp,N,N,Y,3/10 was FIHT new 44BK,N, , , ,0,0,44.9211912,-93.45035121
7,53459,#4400 Baker Rd,Office Entrance,Near side S,MINNETONKA,Hennepin,3/10 new 44BK was FIHT = Fingerhut #40182,N,N,Y,8/13 abandoned 44BK,N, , , ,0,0,44.9211912,-93.45035121
8,44365,#7635,Edinborough Way,Near side S,EDINA,Hennepin,6/07 was SB Edinborough NS #3300 - Miracle Ear,N,N,Y,3/12 eliminate EDBO,N, , , ,0,0,44.86300098,-93.32144203
9,43202,101st Ave N,Boundary Creek Terrace,Across from E,MAPLE GROVE,Hennepin,BTR 10/06 - 2/06,N,N,Y, ,Y,101B, , ,0,0,45.13767803,-93.41326114
10,43158,101st Ave N,Boundary Creek Terrace,Near side W,MAPLE GROVE,Hennepin,5/11 BTR temp 101B D-7837 (9/06 - was 101B),N,N,Y,6/13 BTR temp 101B D-12439,N, , , ,0,0,45.13778708,-93.41300095
11,43204,101st Ave N,Quaker Lane,Near side E,MAPLE GROVE,Hennepin,Need site check,N,N,Y, ,Y, , , ,0,0,45.13768103,-93.41023126
12,43203,101st Ave N,Revere Lane,Near side E,MAPLE GROVE,Hennepin,Need site check,N,N,Y,Last used 9/06,N, , , ,0,0,45.13767698,-93.41220818
13,43185,101st Ave N,Valley Forge Lane,Near side W,MAPLE GROVE,Hennepin,5/11 D-7837,N,N,Y, ,Y, , , ,0,0,45.13779292,-93.41728888
14,43201,101st Ave N,Valley Forge Lane,Near side E,MAPLE GROVE,Hennepin,5/11 D-7837,N,N,Y, ,Y, , , ,0,0,45.13770198,-93.41761508
15,43186,101st Ave N,Zachary Lane,Near side W,MAPLE GROVE,Hennepin,5/11 D-7837,N,N,Y, ,Y, , , ,0,0,45.13784306,-93.42187105
16,52197,102nd St E,4th Ave S,Near side E,BLOOMINGTON,Hennepin, ,N,N,Y, ,Y, , , ,1,1,44.81901404,-93.27107196
17,484,102nd St E,Clinton Ave S,Across from W,BLOOMINGTON,Hennepin,4/14 recycled,N,N,Y, ,Y, , , ,1,1,44.81910998,-93.27191819
18,1413,102nd St E,Nicollet Ave S,Near side E,BLOOMINGTON,Hennepin,3/12  B. Smith,N,N,Y, ,Y, , , ,1,1,44.81901003,-93.27865197
19,52198,102nd St E,Portland Ave S,Near side E,BLOOMINGTON,Hennepin, ,N,N,Y, ,Y, , , ,1,1,44.81900514,-93.26855532
20,485,102nd St E,Portland Ave S,Far side W,BLOOMINGTON,Hennepin,4/14 recycled - was NB Portland NS 103rd (until 2005),N,N,Y, ,Y, , , ,1,1,44.81912716,-93.26895721
21,52196,102nd St E,Stevens Ave / 2nd Ave S,Mid block E,BLOOMINGTON,Hennepin, ,N,N,Y, ,Y,1022, , ,1,0,44.81901204,-93.27544606
22,486,102nd St E,Stevens Ave S,Near side W,BLOOMINGTON,Hennepin,8/14 + 1022 (4/14 recycled),N,N,Y, ,Y,1022, , ,0,1,44.81911288,-93.27585128
23,1725,102nd St W,Abbott Ave S,Across from E,BLOOMINGTON,Hennepin,Posted no parking,N,N,Y, ,Y, , , ,1,1,44.81914898,-93.32347015
24,1635,102nd St W,Abbott Ave S,Near side W,BLOOMINGTON,Hennepin,Posted no parking,N,N,Y, ,Y, , , ,1,1,44.81926614,-93.32310603
25,1724,102nd St W,Beard Ave S,Across from E,BLOOMINGTON,Hennepin,Posted no parking,N,N,Y,10/14 spacing A-16164,N, , , ,0,0,44.81914707,-93.32512515
26,1636,102nd St W,Beard Ave S,Near side W,BLOOMINGTON,Hennepin,Posted no parking,N,N,Y, ,Y, , , ,1,1,44.81926309,-93.32484628
27,50027,102nd St W,Blaisdell Ave S,Across from W,BLOOMINGTON,Hennepin, ,N,N,Y, ,Y, , , ,1,1,44.81910005,-93.27968209
28,1412,102nd St W,Blaisdell Ave S,Near side E,BLOOMINGTON,Hennepin, ,N,N,Y,3/12 delete B. Smith,N, , , ,0,0,44.81901309,-93.28001318
29,1723,102nd St W,Chowen Ave S,Near side E,BLOOMINGTON,Hennepin,Posted no parking,N,N,Y, ,Y, , , ,1,1,44.81915708,-93.32575319
30,1638,102nd St W,Drew Ave S,Across from W,BLOOMINGTON,Hennepin,Posted no parking,N,N,Y, ,Y, , , ,1,1,44.81929717,-93.32694328
