"locationID","locationName","locationType","address1","address2","city","state","zip5","zip4","latitude","longitude","distance","phone","fax","tollFree","tty","services","serviceHours","parking","passportApptRequired","siteComment","passportTelephoneNumber","passportTelephoneNumberExtension","showNotice","specialMessage","lbroRetail","timeZone","parcelLockerLocation","parcelLockerAddress","parcelLockerCity","parcelLockerState","parcelLockerZip","closedFacility","error"
"1352393","ADJUNTAS","PO","37 CALLE MUNOZ RIVERA","","ADJUNTAS","PR","00601","9998","18.163453","-66.722071","0.37601","7878293740","7878292620","800ASKUSPS","8778892457","System.Object[]","System.Object[]","NONE","Y","","","","","","","00:00","False","","","","","False",""
"1352442","AGUADA","PO","5 AVE NATIVO ALERS","","AGUADA","PR","00602","9998","18.378635","-67.192013","0.17491","7878687405","7878681660","800ASKUSPS","8778892457","System.Object[]","System.Object[]","LOT","Y","","","","","","","00:00","False","","","","","False",""
"1433937","AGUADILLA","PO","50 CARR 459 STE 1","","AGUADILLA","PR","00603","9998","18.443161","-67.141238","0.44156","7878822235","7878824260","800ASKUSPS","8778892457","System.Object[]","System.Object[]","LOT","Y","","","","","","","00:00","False","","","","","False",""
"1433968","VICTORIA","PO","68 CALLE RAMON E BETANCES","","AGUADILLA","PR","00603","9997","18.428352","-67.155031","1.69117","7878824535","7879971375","800ASKUSPS","8778892457","System.Object[]","System.Object[]","LOT","","","","","","","","00:00","False","","","","","False",""
"1433959","RAMEY","PO","100 AVE BORINQUEN","","AGUADILLA","PR","00603","9996","18.495074","-67.147162","3.21664","7878905383","7878905383","800ASKUSPS","8778892457","System.Object[]","System.Object[]","STREET","","","","","","","","00:00","False","","","","","False",""
"1371833","MARICAO","PO","9 CALLE ZUZUARREGUI FRNT","","MARICAO","PR","00606","9998","18.18134","-66.979821","0.01737","7878383605","7878383605","800ASKUSPS","8778892457","System.Object[]","System.Object[]","NONE","","","","","","","","00:00","False","","","","","False",""
"1433939","ANASCO","PO","93 CALLE 65 INFANTERIA STE 1","","ANASCO","PR","00610","2947","18.2807","-67.145686","0.1743","7878260660","7878263990","800ASKUSPS","8778892457","System.Object[]","System.Object[]","LOT","","","","","","","","00:00","False","","","","","False",""
"1353078","ANGELES","PO","100 CARR 111","","ANGELES","PR","00611","9998","18.29215","-66.802356","1.19317","7878947120","7878948918","800ASKUSPS","8778892457","System.Object[]","System.Object[]","LOT","","","","","","","","00:00","False","","","","","False",""
"1353292","ARECIBO PUEBLO","PO","442 AVE JUAN ROSADO STE 1","","ARECIBO","PR","00612","1997","18.463077","-66.72223","0.39112","7878788772","7878781665","800ASKUSPS","8778892457","System.Object[]","System.Object[]","LOT","","","","","","","","00:00","False","","","","","False",""
"1359375","COTTO","PO","22 CALLE CENTRO COMERCIAL","","ARECIBO","PR","00612","9996","18.461064","-66.734455","0.98733","7878800094","7878781665","800ASKUSPS","8778892457","System.Object[]","System.Object[]","LOT","","","","","","","","00:00","False","","","","","False",""
